anu	ins_chb_s	ins_chb_a	ins_tibet_s
640	435.121777980502	434.13053804879	475.860686087148
650	435.077927208399	434.174149316191	475.859230770685
660	435.034051866948	434.217800385573	475.857908697889
670	434.990152349958	434.261490908395	475.856720034074
680	434.946229051654	434.30522053535	475.855664945126
690	434.902282366482	434.348988915639	475.854743589865
700	434.858312689486	434.392795697521	475.853956134487
710	434.814320415926	434.43664052843	475.853302738147
720	434.770305941472	434.480523054327	475.852783560954
730	434.726269662094	434.524442920356	475.852398764231
740	434.682211974135	434.568399770183	475.852148506626
750	434.638133274313	434.612393246857	475.852032944595
760	434.5940339597	434.656422992083	475.852052239155
770	434.54991442755	434.700488646216	475.852206545034
780	434.505775075636	434.74458984899	475.852496019582
790	434.461616301984	434.788726238871	475.852920811621
